tanggal,pm10,so2,co,o3,no2,Kecepatan angin rata-rata,kelembaban,Suhu Min,Suhu Max,Suhu Rata-Rata,Curah Hujan (mm)
1/1/2017,29.48,23,16.3,36.28,6.02,1.97,77.52,25.52,31.6,28.03,
1/2/2017,32.41,20.48,21.43,45.84,8.01,1.82,82.07,24.96,31.43,27.79,
1/3/2017,45.81,22.35,22.88,56.14,9.98,1.32,78.42,25.79,32.19,28.29,
1/4/2017,47.45,23.73,20.07,65.03,9.69,1.33,77.6,25.97,32.64,28.67,
1/5/2017,62.1,27.32,18.1,76.65,10.75,1.96,75.9,26.58,32.66,29.24,
1/6/2017,52.87,27.07,19.53,59.09,8.59,1.33,76.87,25.36,32.61,28.55,
1/7/2017,56.27,25.01,18.88,80.82,9.87,1.96,73.94,25.9,32.41,28.59,
1/8/2017,60.25,28.07,18.63,80.43,7.77,1.61,69.39,25.84,32.56,28.71,
1/9/2017,61.01,28.49,17.88,81.48,9.42,1.3,72.2,25.93,32.43,28.69,
1/10/2017,52.68,30.33,21.43,73.1,10.36,1.32,74.61,26.06,32.38,28.74,
1/11/2017,44.29,31.48,19.29,68,9.49,1.5,78.17,25.7,31.77,28.06,
1/12/2017,28.74,26.19,17.4,37.18,6.38,1.64,76.52,25.65,31.55,28.08,
1/1/2018,27.64,29.2,13.34,37.9,6.22,1.96,76.48,25.92,32.3,28.62,215.1
1/2/2018,37.95,19.57,25.37,48.7,7.73,1.6,82.57,25.5,31.11,27.83,431.2
1/3/2018,48.4,21.04,20.56,74.23,8.86,1.48,79.74,25.35,31.77,28.09,188.6
1/4/2018,50.2,20.65,19.56,62.62,8.96,1.16,78.57,25.93,31.86,28.48,159.1
1/5/2018,63.48,19.56,17.32,81.19,9.06,1.19,73.52,26.35,32.87,29.07,16.7
1/6/2018,56.8,17.7,15.11,81.32,7.75,1.13,75.17,25.8,32.58,28.57,12.6
1/7/2018,69.1,19.78,16.73,101.03,10.8,1.96,70.84,25.39,32.57,28.45,14.5
1/8/2018,60.25,21.29,13.26,96.83,8.62,1.16,70.1,25.84,32.56,28.54,33
1/9/2018,57.64,21.89,16.77,89.66,8.58,1.33,68.37,25.73,32.8,28.78,62
1/10/2018,56.53,21.59,16.93,86.36,8.36,1.19,71.39,26.18,32.95,29.21,133.8
1/11/2018,53.44,19.28,20.64,84.56,9.2,1.13,75.53,26.2,32.78,28.96,140.9
1/12/2018,44.8,17.52,15.53,65.79,8.52,1.7,74.81,26.06,32.72,28.8,52.3
1/1/2019,41.28,15.07,17.67,59.1,9.5,1.58,79.97,25.28,31.34,27.86,383.9
1/2/2019,50.21,17.59,22.32,59.91,11.12,1.39,80.21,25.44,32.26,28.6,270.1
1/3/2019,45.51,15.5,19.21,65.73,11.33,1.64,78.55,25.62,32.6,28.54,327.3
1/4/2019,53.02,13.67,22.88,80.6,11.02,1.5,78.43,25.99,32.81,29.01,194.6
1/5/2019,59.13,14.41,19.27,70,10.63,1.48,73.77,26.37,33.52,29.54,47.8
1/6/2019,61.78,15.57,16.79,82.46,10.63,1.23,71.9,25.87,32.81,28.8,23.1
1/7/2019,6.615,18.65,15.3,78.07,10.78,1.25,68.48,25.53,32.68,28.65,0
1/8/2019,64.74,17.92,15.52,88.06,10.19,1.41,68.61,25.71,32.5,28.59,0
1/9/2019,64.05,18.92,14.51,89.83,8.57,1.33,68.67,25.69,32.87,28.87,1
1/10/2019,65.34,19.42,14.78,96.21,10.35,1.35,68.9,26.16,32.86,29.25,1
1/11/2019,59.44,20.06,17.9,98.57,10.7,1.33,71,26.34,33.1,29.38,50.1
1/12/2019,55.08,19.46,21.59,76.25,9.38,1.45,79.1,25.55,32.01,28.42,263.8
1/1/2020,46.47,20.56,22.99,49.67,8.91,1.45,83.06,25.69,31.68,28.31,618
1/2/2020,44.14,15.48,24.41,52.48,8.93,1.44,84.07,25.41,31.34,28.08,1043.2
1/3/2020,49.09,15.43,20.7,72.39,9.78,1.51,79.84,25.87,32.05,28.47,220.7
1/4/2020,51.19,14.89,13.94,66.75,8.52,1.36,79.03,26.21,32.52,28.89,182.8
1/6/2020,49.81,16.69,12.76,58.09,8.2,1.25,76.19,26.33,32.82,29.2,50.4
1/7/2020,60.9,18.14,14.04,63.34,9.73,1.33,74.34,26.11,32.67,28.92,21.1
1/8/2020,61.14,21.21,12.26,69.47,9.95,1.41,72.65,25.8,32.46,28.63,12.1
1/9/2020,62.2,23.02,13.25,64.76,10.36,1.38,71.71,25.94,32.88,28.9,101
1/10/2020,59.01,26.42,11.02,80.36,9.86,1.7,68,26.31,32.94,29.16,151.9
1/11/2020,52.31,22.04,39.47,47.28,40.99,1.58,74.23,25.91,32.65,28.67,208.3
1/12/2020,51.02,57.26,23.04,33.41,39.23,1.46,76.13,26.29,32.89,29.08,87.3
1/1/2021,30.32,29.88,7.77,32.27,7.21,2.32,76.1,25.81,32.46,28.53,134.7
1/2/2021,37.17,30.54,11.25,25.49,15.51,1.64,82.26,25.2,30.75,27.51,332.8
1/3/2021,50.43,31.73,13.34,29.44,19.15,1.96,82.86,25.32,31.18,27.89,604.4
1/4/2021,52.73,32.83,12.65,30.68,20.91,1.67,79.19,25.86,32.09,28.42,244.1
1/5/2021,54.59,34.21,11.43,34.05,19.13,1.4,76.77,25.84,32.31,28.64,213.9
1/6/2021,61.41,39.17,13.85,29.77,27.13,1.32,76.35,26.21,32.32,28.82,203.6
1/7/2021,67.08,40.28,10.67,32.14,22.9,1.2,79.7,25.59,31.76,28.1,79.1
1/8/2021,58.63,39.43,10.17,29.97,20.91,1.19,73.65,25.28,32,28.23,35.8
1/9/2021,55.29,42.07,9.51,31.61,19.13,1.64,73.13,25.82,32.36,28.66,79.7
