Bulan,Curah Hujan (mm)
Jan 2018,215.1
Feb 2018,431.2
Mar 2018,188.6
Apr 2018,159.1
May 2018,16.7
Jun 2018,12.6
Jul 2018,14.5
Aug 2018,33
Sep 2018,62
Oct 2018,133.8
Nov 2018,140.9
Dec 2018,52.3
Jan 2019,383.9
Feb 2019,270.1
Mar 2019,327.3
Apr 2019,194.6
May 2019,47.8
Jun 2019,23.1
Jul 2019,0
Aug 2019,0
Sep 2019,1
Oct 2019,1
Nov 2019,50.1
Dec 2019,263.8
Jan 2020,618
Feb 2020,1043.2
Mar 2020,220.7
Apr 2020,182.8
May 2020,50.4
Jun 2020,21.1
Jul 2020,12.1
Aug 2020,101
Sep 2020,151.9
Oct 2020,208.3
Nov 2020,87.3
Dec 2020,134.7
Jan 2021,332.8
Feb 2021,604.4
Mar 2021,244.1
Apr 2021,213.9
May 2021,203.6
Jun 2021,79.1
Jul 2021,35.8
Aug 2021,79.7
Sep 2021,113.4
Oct 2021,182.1
Nov 2021,134.1
Dec 2021,171.6
