Provinsi,IKU,Drespiratory_1990,Drespiratory_2019,dDrespiratory
ACEH,90.71,58,34,-0.413793103
SUMATERA UTARA,86.58,49,31,-0.367346939
SUMATERA BARAT,89.45,63,27,-0.571428571
RIAU,90.2,57,30,-0.473684211
JAMBI,87.25,67,33,-0.507462687
SUMATERA SELATAN,87.13,67,30,-0.552238806
BENGKULU,92.69,61,32,-0.475409836
LAMPUNG,86.62,58,29,-0.5
KEP. BANGKA BELITUNG,91.94,57,33,-0.421052632
KEP. RIAU,90.63,53,28,-0.471698113
DKI JAKARTA,67.97,42,25,-0.404761905
JAWA BARAT,75.1,50,24,-0.52
JAWA TENGAH,84.81,43,25,-0.418604651
DI YOGYAKARTA,85.19,32,25,-0.21875
JAWA TIMUR,83.06,53,27,-0.490566038
BANTEN,74.98,70,31,-0.557142857
BALI,89.85,36,18,-0.5
NUSA TENGGARA BARAT,87.51,95,36,-0.621052632
NUSA TENGGARA TIMUR,88.18,81,36,-0.555555556
KALIMANTAN BARAT,90.04,63,29,-0.53968254
KALIMANTAN TENGAH,88.82,50,22,-0.56
KALIMANTAN SELATAN,88.78,168,47,-0.720238095
KALIMANTAN TIMUR,90.02,88,31,-0.647727273
KALIMANTAN UTARA,93.79,71,20,-0.718309859
SULAWESI UTARA,92.41,49,28,-0.428571429
SULAWESI TENGAH,92.98,165,70,-0.575757576
SULAWESI SELATAN,87.13,75,32,-0.573333333
SULAWESI TENGGARA,90.01,96,37,-0.614583333
GORONTALO,86.68,96,33,-0.65625
SULAWESI BARAT,89.97,87,39,-0.551724138
MALUKU,88.72,124,37,-0.701612903
MALUKU UTARA,92.38,114,43,-0.622807018
PAPUA BARAT,92.64,75,35,-0.533333333
PAPUA,92.56,61,40,-0.344262295
