tanggal,wilayah_stasiun,pm10,so2,co,o3,no2
01/01/2017,DKI 1,30.68,25.87,20.94,17.68,2.13
01/01/2017,DKI 2,28.68,19.42,10.32,46.48,11.90
01/01/2017,DKI 3,37.77,29.90,9.26,44.65,4.84
01/01/2017,DKI 4,37.55,27.00,10.00,39.23,4.77
01/01/2017,DKI 5,12.74,12.81,30.97,33.39,6.45
01/02/2017,DKI 1,42.39,8.75,24.00,40.79,3.36
01/02/2017,DKI 2,36.36,20.79,14.71,50.71,13.21
01/02/2017,DKI 3,34.32,29.18,14.04,55.79,07.07
01/02/2017,DKI 4,41.89,28.82,14.79,42.96,5.79
01/02/2017,DKI 5,7.11,14.86,39.61,38.96,10.61
01/03/2017,DKI 1,47.61,8.65,25.16,55.77,4.16
01/03/2017,DKI 2,48.90,21.42,16.65,55.10,16.39
01/03/2017,DKI 3,47.39,33.58,15.00,64.00,6.87
01/03/2017,DKI 4,57.10,31.39,16.23,54.94,10.19
01/03/2017,DKI 5,28.06,16.74,41.39,50.87,12.29
01/04/2017,DKI 1,48.40,10.90,22.33,52.17,4.57
01/04/2017,DKI 2,50.67,24.47,15.37,75.40,16.43
01/04/2017,DKI 3,38.93,34.90,11.73,71.80,07.07
01/04/2017,DKI 4,54.93,33.13,15.00,60.93,8.63
01/04/2017,DKI 5,44.30,15.27,35.90,64.83,11.77
01/05/2017,DKI 1,54.45,12.45,22.42,66.77,5.23
01/05/2017,DKI 2,62.87,27.65,13.84,70.16,15.65
01/05/2017,DKI 3,61.32,35.74,12.90,92.45,8.26
01/05/2017,DKI 4,72.94,43.23,12.94,73.29,9.35
01/05/2017,DKI 5,58.94,17.52,28.39,80.58,15.26
01/06/2017,DKI 1,44.97,14.27,20.63,50.60,3.83
01/06/2017,DKI 2,53.63,29.30,12.03,55.80,11.73
01/06/2017,DKI 3,55.07,27.70,8.77,72.03,6.57
01/06/2017,DKI 4,63.73,45.83,17.47,58.63,7.87
01/06/2017,DKI 5,46.93,18.23,38.73,58.37,12.93
01/07/2017,DKI 1,47.32,15.39,20.61,74.84,5.45
01/07/2017,DKI 2,60.23,31.32,12.14,80.39,14.35
01/07/2017,DKI 3,57.45,11.77,4.81,92.87,7.39
01/07/2017,DKI 4,66.93,48.93,17.21,70.24,7.72
01/07/2017,DKI 5,50.13,18.79,38.07,83.90,14.62
01/08/2017,DKI 1,51.94,18.26,18.84,79.29,5.29
01/08/2017,DKI 2,62.32,38.42,11.16,77.65,11.61
01/08/2017,DKI 3,60.00,12.74,12.19,99.06,7.74
01/08/2017,DKI 4,70.32,50.94,15.94,69.71,5.52
01/08/2017,DKI 5,56.65,20.00,35.00,76.42,8.71
01/09/2017,DKI 1,57.83,18.73,19.13,76.27,5.50
01/09/2017,DKI 2,59.17,39.40,10.63,81.10,15.00
01/09/2017,DKI 3,58.10,13.50,15.00,98.97,7.33
01/09/2017,DKI 4,71.93,51.13,14.03,69.03,10.77
01/09/2017,DKI 5,58.00,19.67,30.60,82.03,8.50
01/10/2017,DKI 1,50.13,18.45,22.10,73.65,5.26
01/10/2017,DKI 2,52.68,48.06,15.26,74.19,18.19
01/10/2017,DKI 3,47.81,14.61,15.42,60.10,7.77
01/10/2017,DKI 4,61.58,51.48,15.68,71.71,11.71
01/10/2017,DKI 5,51.23,19.03,38.71,85.84,8.87
01/11/2017,DKI 1,42.27,20.90,21.10,69.90,5.17
01/11/2017,DKI 2,46.40,50.87,12.20,62.37,15.60
01/11/2017,DKI 3,41.47,14.13,15.13,59.73,7.27
01/11/2017,DKI 4,49.60,52.13,12.93,69.70,10.27
01/11/2017,DKI 5,41.73,19.37,35.07,78.30,9.13
01/12/2017,DKI 1,29.19,21.55,18.77,31.32,3.32
01/12/2017,DKI 2,30.00,43.87,10.42,34.77,11.65
01/12/2017,DKI 3,19.03,16.16,13.03,49.03,3.97
01/12/2017,DKI 4,36.68,28.77,15.03,38.65,6.48
01/12/2017,DKI 5,28.77,20.58,29.74,32.13,6.48
01/01/2018,DKI 1,28.9,21.83,18.03,29.09,3.03
01/01/2018,DKI 2,27.77,27.45,10.06,30.93,12.19
01/01/2018,DKI 3,23.25,18.51,10.19,42.87,4.22
01/01/2018,DKI 4,32.35,45.16,11.16,34.35,6.41
01/01/2018,DKI 5,25.93,33.03,17.29,52.29,5.25
01/02/2018,DKI 1,29.96,21.78,23.32,33.35,3.78
01/02/2018,DKI 2,34.75,23.42,28.92,47.89,14.25
01/02/2018,DKI 3,44.78,16.46,16.6,56.42,6.35
01/02/2018,DKI 4,42.89,16.6,20.67,39.39,9.78
01/02/2018,DKI 5,37.39,19.6,37.35,66.42,4.5
01/03/2018,DKI 1,45.54,23.77,24.03,53.03,3.83
01/03/2018,DKI 2,47.67,28.35,16.25,"84,00",16.06
01/03/2018,DKI 3,50.67,17.9,17.9,74.35,6.96
01/03/2018,DKI 4,54.25,19.87,18.93,57.96,12.38
01/03/2018,DKI 5,43.83,15.32,25.7,101.8,5.06
01/04/2018,DKI 1,41.66,22.26,23.6,31.86,3.23
01/04/2018,DKI 2,56.06,23.13,17.2,"62,00",17.63
01/04/2018,DKI 3,43.5,19.3,18.36,71.46,7.7
01/04/2018,DKI 4,58.7,23.36,21.63,49.46,11.1
01/04/2018,DKI 5,51.1,15.2,17.03,98.26,5.16
01/05/2018,DKI 1,50.8,16.67,18.77,56.51,4.93
01/05/2018,DKI 2,66.9,18.74,12.74,75.93,16.19
01/05/2018,DKI 3,59.74,16.38,17.77,85.64,7.74
01/05/2018,DKI 4,74.87,"26,00",20.38,59.9,11.12
01/05/2018,DKI 5,65.09,20.03,16.96,127.96,5.32
01/06/2018,DKI 1,49.43,9.66,14.93,36.63,4.53
01/06/2018,DKI 2,60.73,18.6,10.33,98.9,13.8
01/06/2018,DKI 3,54.36,16.4,15.83,84.03,"7,00"
01/06/2018,DKI 4,65.3,26.33,15.93,61.23,8.73
