tanggal,wilayah_stasiun,pm10,so2,co,o3,no2,,,,,,
January 2017,DKI 1,30.68,25.87,20.94,17.68,2.13,,,,,,
January 2017,DKI 2,28.68,19.42,10.32,46.48,11.9,,,,,,
January 2017,DKI 3,37.77,29.9,9.26,44.65,4.84,,,,,,
January 2017,DKI 4,37.55,27,10,39.23,4.77,,,,,,
January 2017,DKI 5,12.74,12.81,30.97,33.39,6.45,,,,,,
February 2017,DKI 1,42.39,8.75,24,40.79,3.36,,,,,,
February 2017,DKI 2,36.36,20.79,14.71,50.71,13.21,,,,,,
February 2017,DKI 3,34.32,29.18,14.04,55.79,07.07,,,,,,
February 2017,DKI 4,41.89,28.82,14.79,42.96,5.79,,,,,,
February 2017,DKI 5,7.11,14.86,39.61,38.96,10.61,,,,,,
March 2017,DKI 1,47.61,8.65,25.16,55.77,4.16,,,,,,
March 2017,DKI 2,48.9,21.42,16.65,55.1,16.39,,,,,,
March 2017,DKI 3,47.39,33.58,15,64,6.87,,,,,,
March 2017,DKI 4,57.1,31.39,16.23,54.94,10.19,,,,,,
March 2017,DKI 5,28.06,16.74,41.39,50.87,12.29,,,,,,
April 2017,DKI 1,48.4,10.9,22.33,52.17,4.57,,,,,,
April 2017,DKI 2,50.67,24.47,15.37,75.4,16.43,,,,,,
April 2017,DKI 3,38.93,34.9,11.73,71.8,07.07,,,,,,
April 2017,DKI 4,54.93,33.13,15,60.93,8.63,,,,,,
April 2017,DKI 5,44.3,15.27,35.9,64.83,11.77,,,,,,
May 2017,DKI 1,54.45,12.45,22.42,66.77,5.23,,,,,,
May 2017,DKI 2,62.87,27.65,13.84,70.16,15.65,,,,,,
May 2017,DKI 3,61.32,35.74,12.9,92.45,8.26,,,,,,
May 2017,DKI 4,72.94,43.23,12.94,73.29,9.35,,,,,,
May 2017,DKI 5,58.94,17.52,28.39,80.58,15.26,,,,,,
June 2017,DKI 1,44.97,14.27,20.63,50.6,3.83,,,,,,
June 2017,DKI 2,53.63,29.3,12.03,55.8,11.73,,,,,,
June 2017,DKI 3,55.07,27.7,8.77,72.03,6.57,,,,,,
June 2017,DKI 4,63.73,45.83,17.47,58.63,7.87,,,,,,
June 2017,DKI 5,46.93,18.23,38.73,58.37,12.93,,,,,,
July 2017,DKI 1,47.32,15.39,20.61,74.84,5.45,,,,,,
July 2017,DKI 2,60.23,31.32,12.14,80.39,14.35,,,,,,
July 2017,DKI 3,57.45,11.77,4.81,92.87,7.39,,,,,,
