tanggal,pm10,so2,co,o3,no2,
01/01/2017,29.48,23,16.3,36.28,06.02,
01/02/2017,32.41,20.48,21.43,45.84,08.01,
01/03/2017,45.81,22.35,22.88,56.14,9.98,
01/04/2017,47.45,23.73,20.07,65.03,9.69,
01/05/2017,62.1,27.32,18.10,76.65,10.75,
01/06/2017,52.87,27.07,19.53,59.09,8.59,
01/07/2017,56.27,25.01,18.88,80.82,9.87,
01/08/2017,60.25,28.07,18.63,80.43,7.77,
01/09/2017,61.01,28.49,17.88,81.48,9.42,
01/10/2017,52.68,30.33,21.43,73.1,10.36,
01/11/2017,44.29,31.48,19.29,68,9.49,
01/12/2017,28.74,26.19,17.4,37.18,6.38,
01/01/2018,27.64,29.2,13.34,37.9,6.22,
01/02/2018,37.95,19.57,25.37,48.7,7.73,
01/03/2018,48.4,21.04,20.56,74.23,8.86,
01/04/2018,50.2,20.65,19.56,62.62,8.96,
01/05/2018,63.48,19.56,17.32,81.19,09.06,
01/06/2018,56.8,17.7,15.11,81.32,7.75,
01/07/2018,69.1,19.78,16.73,101.03,10.8,
01/08/2018,60.25,21.29,13.26,96.83,8.62,
01/09/2018,57.64,21.89,16.77,89.66,8.58,
01/10/2018,56.53,21.59,16.93,86.36,8.36,
01/11/2018,53.44,19.28,20.64,84.56,9.2,
01/12/2018,44.8,17.52,15.53,65.79,8.52,
01/01/2019,41.28,15.07,17.67,59.1,9.5,
01/02/2019,50.21,17.59,22.32,59.91,11.12,
01/03/2019,45.51,15.5,19.21,65.73,11.33,
01/04/2019,53.02,13.67,22.88,80.6,11.02,
01/05/2019,59.13,14.41,19.27,70,10.63,
01/06/2019,61.78,15.57,16.79,82.46,10.63,
01/07/2019,"6,615",18.65,15.3,78.07,10.78,
01/08/2019,64.74,17.92,15.52,88.06,10.19,
01/09/2019,64.05,18.92,14.51,89.83,8.57,
01/10/2019,65.34,19.42,14.78,96.21,10.35,
01/11/2019,59.44,20.06,17.9,98.57,10.7,
01/12/2019,55.08,19.46,21.59,76.25,9.38,
01/01/2020,46.47,20.56,22.99,49.67,8.91,
01/02/2020,44.14,15.48,24.41,52.48,8.93,
01/03/2020,49.09,15.43,20.7,72.39,9.78,
01/04/2020,51.19,14.89,13.94,66.75,8.52,
01/06/2020,49.81,16.69,12.76,58.09,8.2,
01/07/2020,60.9,18.14,14.04,63.34,9.73,
01/08/2020,61.14,21.21,12.26,69.47,9.95,
01/09/2020,62.2,23.02,13.25,64.76,10.36,
01/10/2020,59.01,26.42,11.02,80.36,9.86,
01/11/2020,52.31,22.04,39.47,47.28,40.99,
01/12/2020,51.02,57.26,23.04,33.41,39.23,
01/01/2021,30.32,29.88,7.77,32.27,7.21,
01/02/2021,37.17,30.54,11.25,25.49,15.51,
01/03/2021,50.43,31.73,13.34,29.44,19.15,
01/04/2021,52.73,32.83,12.65,30.68,20.91,
01/05/2021,54.59,34.21,11.43,34.05,19.13,
01/06/2021,61.41,39.17,13.85,29.77,27.13,
01/07/2021,67.08,40.28,10.67,32.14,22.9,
01/08/2021,58.63,39.43,10.17,29.97,20.91,
01/09/2021,55.29,42.07,9.51,31.61,19.13,
01/10/2021,57.27,47.36,11.31,37.67,22.61,
01/11/2021,40.87,31.7,10.29,25.82,17.53,
01/12/2021,48.68,35.57,13.49,29,21.31,
