,content,score,clean_text,sentiment,sentiment_label
0,Indonesia air quality? Lucu bgt. Mending ubah jadi Jawa air quality.,1,indonesia air quality lucu bgt mending ubah jawa air quality,0.0,netral
1,Nice info,5,nice info,0.4215,positif
2,Ok,5,ok,0.296,positif
3,"We need widget ,sir...",4,we need widget sir,0.0,netral
4,Top,5,top,0.2023,positif
5,Sangat Baik,5,,0.0,netral
6,"Tambahin widget nya donk, biar simpel😊",5,tambahin widget donk simpel,0.0,netral
7,eror,1,eror,0.0,netral
8,"Aplikasi yang bagus. Sayang jangkauan kotanya masih terlalu kecil, aplikasi hanya bisa melihat kualitas udara untuk kota besar, itupun kota seperti Aceh, Medan, Padang dan lainnya di Sumatra tidak ada. Semoga diperbesar jangkauan kotanya agar nyaman dan enak menggunakan aplikasinya.",3,sayang jangkauan kotanya kualitas udara itupun aceh medan padang sumatra diperbesar jangkauan kotanya nyaman enak aplikasinya,0.0,netral
9,"Parameter yg digunakan standar oleh aplikasi nafas kurang lengkap, padahal banyak parameter lain yg menandai tingginya tingkat polusi spt O3, dll....jika polusi O3 tinggi juga berbahaya bagi manusia, jangan hanya menggunakan parameter PM2.5 saja. Jika cek di aplikasi lain dgn parameter lengkap, kualitas udara masih merah....sedangkan jika cek dgn aplikasi nafas, kualitas udara sudah kuning, pdhl pd nyatanya masih berbahaya....jadi jangan menyesatkan masyarakat, dipikir sudah aman pdhl msh bahaya",2,standar nafas lengkap menandai tingginya tingkat polusi spt o3 dlljika polusi o3 manusia pm25 dgn lengkap kualitas udara merahsedangkan dgn nafas kualitas udara kuning pd berbahayajadi menyesatkan masyarakat dipikir aman msh bahaya,0.0,netral
10,Mati dari kemarin sore,3,mati kemarin sore,-0.3612,negatif
11,karena tidak banyak daerah yang bisa di jangkau udara nya,1,jangkau udara,0.0,netral
12,"hanya ada di kota kota besar, di krian yang banyak pabrik aja gak ada",2,krian pabrik aja,0.0,netral
