Tanggal,Suhu Min,Suhu Max,Suhu Rata-Rata
January 2017,25.52,31.6,28.03
February 2017,24.96,31.43,27.79
March 2017,25.79,32.19,28.29
Apr-17,25.97,32.64,28.67
May 2017,26.58,32.66,29.24
June 2017,25.36,32.61,28.55
July 2017,25.9,32.41,28.59
August 2017,25.84,32.56,28.71
Sep-17,25.93,32.43,28.69
October 2017,26.06,32.38,28.74
Nov-17,25.7,31.77,28.06
December 2017,25.65,31.55,28.08
January 2018,25.92,32.3,28.62
February 2018,25.5,31.11,27.83
March 2018,25.35,31.77,28.09
Apr-18,25.93,31.86,28.48
May 2018,26.35,32.87,29.07
June 2018,25.8,32.58,28.57
July 2018,25.39,32.57,28.45
August 2018,25.84,32.56,28.54
Sep-18,25.73,32.8,28.78
October 2018,26.18,32.95,29.21
Nov-18,26.2,32.78,28.96
December 2018,26.06,32.72,28.8
January 2019,25.28,31.34,27.86
February 2019,25.44,32.26,28.6
March 2019,25.62,32.6,28.54
Apr-19,25.99,32.81,29.01
May 2019,26.37,33.52,29.54
June 2019,25.87,32.81,28.8
July 2019,25.53,32.68,28.65
August 2019,25.71,32.5,28.59
Sep-19,25.69,32.87,28.87
October 2019,26.16,32.86,29.25
Nov-19,26.34,33.1,29.38
December 2019,25.55,32.01,28.42
January 2020,25.69,31.68,28.31
February 2020,25.41,31.34,28.08
March 2020,25.87,32.05,28.47
Apr-20,26.21,32.52,28.89
May 2020,26.33,32.82,29.2
June 2020,26.11,32.67,28.92
July 2020,25.8,32.46,28.63
August 2020,25.94,32.88,28.9
Sep-20,26.31,32.94,29.16
October 2020,25.91,32.65,28.67
Nov-20,26.29,32.89,29.08
December 2020,25.81,32.46,28.53
January 2021,25.2,30.75,27.51
February 2021,25.32,31.18,27.89
March 2021,25.86,32.09,28.42
Apr-21,25.84,32.31,28.64
May 2021,26.21,32.32,28.82
June 2021,25.59,31.76,28.10
July 2021,25.28,32,28.23
August 2021,25.82,32.36,28.66
Sep-21,25.83,32.55,28.82
October 2021,25.85,32.52,28.8
Nov-21,25.65,32.44,28.53
December 2021,25.64,32.06,28.33
January 2022,25.45,31.52,28.10
February 2022,25.46,31.91,28.03
March 2022,25.9,32.66,28.59
Apr-22,25.64,32.56,28.65
May 2022,25.6,32.28,28.19
June 2022,25.43,31.87,28.13
July 2022,25.69,32.39,28.55
August 2022,25.91,32.44,28.62
Sep-22,25.95,32.37,28.57
October 2022,25.39,32.25,28.35
Nov-22,25.35,32.25,28.29
December 2022,25.24,31.48,27.82
January 2023,25.62,31.41,28.13
February 2023,25.31,31.04,27.67
March 2023,25.54,32.21,28.16
Apr-23,25.77,32.97,28.88
May 2023,26.58,33.09,29.18
June 2023,25.86,32.79,28.8
July 2023,26.01,32.68,28.74
August 2023,26.01,32.74,28.64
Sep-23,26.09,33.4,29.17
October 2023,26.91,33.76,29.86
